,Player,Year,PTS,AST,MVP Votes
10345,Tony Allen,2015,8.6,1.4,0.0
9607,Avery Bradley,2018,14.3,2.0,0.0
9608,Boban Marjanović,2018,6.0,0.6,0.0
9609,C.J. Williams,2018,5.5,1.1,0.0
9610,Danilo Gallinari,2018,15.3,2.0,0.0
10344,Russ Smith,2015,2.5,0.7,0.0
9611,DeAndre Jordan,2018,12.0,1.5,0.0
9612,Jamil Wilson,2018,7.0,0.7,0.0
9613,Jawun Evans,2018,4.8,2.1,0.0
9614,Lou Williams,2018,22.6,5.3,0.0
9605,Wesley Johnson,2016,6.9,0.6,0.0
9615,Miloš Teodosić,2018,9.5,4.6,0.0
9616,Montrezl Harrell,2018,11.0,1.0,0.0
9617,Patrick Beverley,2018,12.2,2.9,0.0
9618,Sam Dekker,2018,4.2,0.5,0.0
9619,Sindarius Thornwell,2018,3.9,0.9,0.0
9620,Tobias Harris,2018,18.6,2.4,0.0
9621,Tyrone Wallace,2018,9.7,2.4,0.0
9622,Wesley Johnson,2018,5.4,0.8,0.0
10342,Mike Conley,2015,15.8,5.4,0.0
9606,Austin Rivers,2018,15.1,4.0,0.0
9604,Paul Pierce,2016,6.1,1.0,0.0
9585,Jordan Farmar,2015,4.6,1.9,0.0
10349,Benoit Benjamin,1991,14.0,1.7,0.0
9586,Jordan Hamilton,2015,2.7,0.5,0.0
9587,Lester Hudson,2015,3.6,1.0,0.0
9588,Matt Barnes,2015,10.1,1.5,0.0
9589,Nate Robinson,2015,5.7,2.3,0.0
9590,Spencer Hawes,2015,5.8,1.2,0.0
9591,Austin Rivers,2016,8.9,1.5,0.0
9592,Blake Griffin,2016,21.4,4.9,0.0
9593,Branden Dawson,2016,0.8,0.0,0.0
9594,C.J. Wilcox,2016,3.0,0.4,0.0
9596,Cole Aldrich,2016,5.5,0.8,0.0
9603,Pablo Prigioni,2016,2.5,2.2,0.0
9597,DeAndre Jordan,2016,12.7,1.2,0.0
9598,J.J. Redick,2016,16.3,1.4,0.0
10348,Zach Randolph,2015,16.1,2.2,0.0
9599,Jamal Crawford,2016,14.2,2.3,0.0
9600,Jeff Ayres,2016,1.8,0.3,0.0
10347,Vince Carter,2015,5.8,1.2,0.0
9601,Jeff Green,2016,11.7,1.7,0.0
10346,Tyrus Thomas,2015,2.0,0.5,0.0
9602,Luc Mbah a Moute,2016,3.1,0.4,0.0
9710,Rajon Rondo,2013,13.7,11.1,0.0
9712,Terrence Williams,2013,4.6,1.6,0.0
9880,Richard Jefferson,2005,22.2,4.0,0.0
9840,Charles Smith,1997,4.6,0.7,0.0
9822,Terry Cummings,1995,6.8,0.8,0.0
10304,Fabricio Oberto,2007,4.4,0.9,0.0
9823,Vinny Del Negro,1995,12.5,3.0,0.0
9824,Willie Anderson,1995,4.9,1.4,0.0
9825,Avery Johnson,1996,13.1,9.6,0.0
9826,Carl Herrera,1996,1.9,0.4,0.0
10303,Bruce Bowen,2007,6.2,1.4,0.0
9827,Charles Smith,1996,8.3,0.9,0.0
9828,Chuck Person,1996,10.9,1.3,0.0
9829,Cory Alexander,1996,2.8,2.0,0.0
10302,Brent Barry,2007,8.5,1.8,0.0
10301,Beno Udrih,2007,4.7,1.7,0.0
9831,Dell Demps,1996,3.3,0.5,0.0
9832,Doc Rivers,1996,4.0,1.6,0.0
9833,Greg Anderson,1996,1.2,0.2,0.0
9834,Monty Williams,1996,2.2,0.3,0.0
9835,Sean Elliott,1996,20.0,2.7,0.0
9836,Vinny Del Negro,1996,14.5,3.8,0.0
9837,Will Perdue,1996,5.2,0.4,0.0
9838,Avery Johnson,1997,10.5,6.8,0.0
10300,Tony Parker,2005,16.6,6.1,0.0
9821,Sean Elliott,1995,18.1,2.5,0.0
9820,Moses Malone,1995,2.9,0.4,0.0
9819,Julius Nwosu,1995,1.3,0.1,0.0
9809,Avery Johnson,1995,13.4,8.2,0.0
9800,Chris Webber,1994,17.5,3.6,0.0
9801,Dell Demps,1994,2.0,0.5,0.0
9802,Jeff Grayer,1994,6.8,0.9,0.0
9803,Josh Grant,1994,3.0,0.5,0.0
9804,Jud Buechler,1994,2.9,0.4,0.0
9805,Keith Jennings,1994,5.7,2.9,0.0
10309,Manu Ginóbili,2007,16.5,3.5,0.0
9807,Tod Murphy,1994,1.7,0.4,0.0
9808,Victor Alexander,1994,8.7,1.0,0.0
9810,Chris Whitney,1995,1.7,1.1,0.0
9818,Jack Haley,1995,2.4,0.1,0.0
9811,Chuck Person,1995,10.8,1.3,0.0
9812,Corey Crowder,1995,0.9,0.1,0.0
10308,James White,2007,8.3,0.8,0.0
10307,Jacque Vaughn,2007,3.0,2.0,0.0
10306,Jackie Butler,2007,3.7,0.5,0.0
10305,Francisco Elson,2007,5.0,0.8,0.0
9815,Doc Rivers,1995,5.1,2.6,0.0
9816,Howard Eisley,1995,2.4,1.9,0.0
9817,J.R. Reid,1995,7.0,0.7,0.0
9839,Carl Herrera,1997,8.0,0.7,0.0
10299,Tony Massenburg,2005,3.2,0.2,0.0
9713,Avery Bradley,2014,14.9,1.4,0.0
9841,Cory Alexander,1997,7.2,3.2,0.0
9860,Jaren Jackson,1998,8.8,1.9,0.0
9861,Malik Rose,1998,3.0,0.4,0.0
9862,Monty Williams,1998,6.3,1.2,0.0
9863,Reggie Geary,1998,2.5,1.2,0.0
9864,Sean Elliott,1998,9.3,1.7,0.0
10290,Glenn Robinson,2005,10.0,0.9,0.0
9866,Vinny Del Negro,1998,9.5,3.4,0.0
9867,Will Perdue,1998,5.0,0.7,0.0
10289,Dion Glover,2005,3.6,0.6,0.0
9868,Willie Burton,1998,2.1,0.1,0.0
9869,Awvee Storey,2005,0.9,0.1,0.0
9870,Billy Thomas,2005,3.7,0.7,0.0
9871,Brian Scalabrine,2005,6.3,1.6,0.0
9872,Clifford Robinson,2005,7.5,1.5,0.0
9873,Donnell Harvey,2005,2.7,0.3,0.0
9874,Jabari Smith,2005,3.7,0.8,0.0
9875,Jacque Vaughn,2005,5.3,1.9,0.0
9876,Jason Collins,2005,6.4,1.3,0.0
9877,Jason Kidd,2005,14.4,8.3,0.0
9878,Kaniel Dickens,2005,1.2,0.1,0.0
9879,Nenad Krstić,2005,10.0,1.0,0.0
10291,Linton Johnson,2005,0.0,0.0,0.0
9858,Chuck Person,1998,6.7,1.4,0.0
9857,Carl Herrera,1998,2.9,0.4,0.0
9848,Joe Courtney,1997,2.8,0.0,0.0
9842,Darrin Hancock,1997,1.8,0.5,0.0
9843,David Robinson,1997,17.7,1.3,0.0
9844,Devin Gray,1997,3.0,0.3,0.0
9845,Dominique Wilkins,1997,18.2,1.9,0.0
10297,Sean Marks,2005,3.3,0.3,0.0
10296,Robert Horry,2005,6.0,1.1,0.0
10295,Rasho Nesterović,2005,5.9,1.0,0.0
9846,Greg Anderson,1997,3.9,0.4,0.0
9847,Jamie Feick,1997,3.7,0.6,0.0
10294,Nazr Mohammed,2005,9.5,0.4,0.0
9856,Brad Lohaus,1998,2.1,0.6,0.0
9849,Monty Williams,1997,9.0,1.4,0.0
9850,Sean Elliott,1997,14.9,3.2,0.0
9851,Tim Kempton,1997,0.4,0.2,0.0
9852,Vernon Maxwell,1997,12.9,2.1,0.0
10293,Mike Wilks,2005,1.7,0.7,0.0
9853,Vinny Del Negro,1997,12.3,3.2,0.0
9854,Will Perdue,1997,8.7,0.6,0.0
10292,Manu Ginóbili,2005,16.0,3.9,0.0
9855,Avery Johnson,1998,10.2,7.9,0.0
9799,Chris Mullin,1994,16.8,5.1,0.0
9798,Chris Gatling,1994,8.2,0.5,0.0
10310,Matt Bonner,2007,4.9,0.4,0.0
9797,Byron Houston,1994,2.8,0.5,0.0
10320,Jamaal Franklin,2014,1.9,0.3,0.0
9735,Jae Crowder,2015,7.7,1.1,0.0
9736,James Young,2015,3.4,0.4,0.0
9737,Jared Sullinger,2015,13.3,2.3,0.0
9738,Jonas Jerebko,2015,6.0,0.9,0.0
9739,Kelly Olynyk,2015,10.3,1.7,0.0
9740,Marcus Smart,2015,7.8,3.1,0.0
9741,Phil Pressey,2015,3.5,2.3,0.0
9742,Shavlik Randolph,2015,1.1,0.2,0.0
9743,Tyler Zeller,2015,10.2,1.4,0.0
10319,Ed Davis,2014,5.7,0.4,0.0
9744,Avery Bradley,2019,9.9,2.4,0.0
9745,Bruno Caboclo,2019,8.3,1.5,0.0
9746,C.J. Miles,2019,6.4,0.7,0.0
10318,Darius Morris,2014,4.0,1.6,0.0
9747,Chandler Parsons,2019,7.5,1.7,0.0
9748,D.J. Stephens,2019,2.0,0.0,0.0
9749,Delon Wright,2019,8.7,3.3,0.0
9750,Dillon Brooks,2019,7.5,0.9,0.0
9751,Dusty Hannahs,2019,4.0,2.5,0.0
9752,Ivan Rabb,2019,5.8,1.1,0.0
9734,Isaiah Thomas,2015,16.4,4.2,0.0
10321,James Johnson,2014,7.4,2.1,0.0
9733,Gigi Datome,2015,5.0,0.4,0.0
9721,Joel Anthony,2014,0.8,0.1,0.0
9714,Brandon Bass,2014,11.1,1.1,0.0
9715,Chris Babb,2014,1.6,0.2,0.0
10323,Kosta Koufos,2014,6.4,0.5,0.0
9716,Chris Johnson,2014,6.3,0.8,0.0
9717,Gerald Wallace,2014,5.1,2.5,0.0
9718,Jared Sullinger,2014,13.3,1.6,0.0
9719,Jeff Green,2014,16.9,1.7,0.0
10322,Jon Leuer,2014,6.2,0.4,0.0
9720,Jerryd Bayless,2014,9.3,2.7,0.0
9722,Keith Bogans,2014,2.0,0.5,0.0
9732,Gerald Wallace,2015,1.1,0.3,0.0
9723,Kelly Olynyk,2014,8.7,1.6,0.0
9724,Kris Humphries,2014,8.4,1.0,0.0
9725,Phil Pressey,2014,2.8,3.2,0.0
9726,Rajon Rondo,2014,11.7,9.8,0.0
9727,Vander Blue,2014,1.7,0.3,0.0
9728,Vítor Luiz Faverani,2014,4.4,0.4,0.0
9729,Avery Bradley,2015,13.9,1.8,0.0
9730,Brandon Bass,2015,10.6,1.3,0.0
9731,Evan Turner,2015,9.5,5.5,0.0
9753,Jaren Jackson Jr.,2019,13.8,1.1,0.0
9754,Jevon Carter,2019,4.4,1.8,0.0
9755,Joakim Noah,2019,7.1,2.1,0.0
9787,John Turner,1992,2.8,0.3,0.0
9778,Terry Cummings,1991,17.6,2.3,0.0
9779,Tony Massenburg,1991,2.3,0.1,0.0
9780,Willie Anderson,1991,14.4,4.8,0.0
9781,Avery Johnson,1992,5.6,3.9,0.0
9782,Buck Johnson,1992,8.6,2.0,0.0
9783,Carl Herrera,1992,4.4,0.6,0.0
9784,Dan Godfread,1992,0.0,0.0,0.0
9785,Dave Jamerson,1992,4.0,0.7,0.0
9786,Hakeem Olajuwon,1992,21.6,2.2,0.0
9788,Kenny Smith,1992,14.0,6.9,0.0
9777,Sidney Green,1991,6.7,0.8,0.0
10311,Melvin Ely,2007,3.0,0.6,0.0
9789,Larry Smith,1992,2.3,0.7,0.0
9790,Matt Bullard,1992,6.4,0.9,0.0
9791,Otis Thorpe,1992,17.3,3.0,0.0
9792,Sleepy Floyd,1992,9.1,2.9,0.0
9793,Tree Rollins,1992,2.0,0.3,0.0
9794,Vernon Maxwell,1992,17.2,4.1,0.0
9795,Avery Johnson,1994,10.9,5.3,0.0
9796,Billy Owens,1994,15.0,4.1,0.0
10312,Michael Finley,2007,9.0,1.3,0.0
9776,Sean Higgins,1991,4.5,0.7,0.0
9756,Jonas Valančiūnas,2019,15.6,1.4,0.0
10317,Courtney Lee,2014,9.6,1.5,0.0
9757,Julian Washburn,2019,2.2,0.8,0.0
9758,Justin Holiday,2019,10.5,1.8,0.0
9759,Kyle Anderson,2019,8.0,3.0,0.0
9760,MarShon Brooks,2019,6.6,0.9,0.0
9761,Mike Conley,2019,21.1,6.4,0.0
9762,Omri Casspi,2019,6.3,0.7,0.0
9763,Tyler Dorsey,2019,6.2,1.2,0.0
9764,Tyler Zeller,2019,7.7,0.7,0.0
9765,Yuta Watanabe,2019,2.6,0.5,0.0
9766,Avery Johnson,1991,4.7,3.4,0.0
10313,Robert Horry,2007,3.9,1.1,0.0
9767,Clifford Lett,1991,4.9,1.0,0.0
9768,Dave Greenwood,1991,3.8,0.8,0.0
10316,Beno Udrih,2014,4.9,2.8,0.0
9770,David Wingate,1991,5.4,1.8,0.0
9771,Dwayne Schintzius,1991,3.8,0.4,0.0
9772,Paul Pressey,1991,7.5,3.9,0.0
9773,Pete Myers,1991,3.6,1.8,0.0
9774,Rod Strickland,1991,13.8,8.0,0.0
9775,Sean Elliott,1991,15.9,2.9,0.0
8941,Danny Fortson,2005,7.5,0.1,0.0
0,A.C. Green,1991,9.1,0.9,0.0
8940,Damien Wilkins,2005,6.3,0.9,0.0
7744,Jeff Turner,1992,7.1,1.2,0.0
7746,Mark Acres,1992,3.1,0.3,0.0
7747,Nick Anderson,1992,19.9,2.7,0.0
7748,Otis Smith,1992,5.6,1.0,0.0
7749,Sam Vincent,1992,10.5,3.8,0.0
7750,Scott Skiles,1992,14.1,7.3,0.0
7751,Sean Higgins,1992,7.7,1.1,0.0
7752,Stanley Roberts,1992,10.4,0.7,0.0
7753,Terry Catledge,1992,14.8,1.4,0.0
7754,Anthony Bowie,1993,8.0,2.3,0.0
7755,Bison Dele,1993,4.6,0.2,0.0
7756,Dennis Scott,1993,15.9,2.5,0.0
7757,Donald Royal,1993,9.2,1.0,0.0
7758,Greg Kite,1993,1.4,0.2,0.0
7759,Howard Wright,1993,2.0,0.0,0.0
7760,Jeff Turner,1993,7.0,1.4,0.0
7761,Litterial Green,1993,4.5,2.2,0.0
7762,Nick Anderson,1993,19.9,3.4,0.0
7763,Scott Skiles,1993,15.4,9.4,0.0
7765,Steve Kerr,1993,2.6,1.3,0.0
7766,Terry Catledge,1993,4.7,0.2,0.0
7767,Tom Tolbert,1993,8.1,1.3,0.0
7768,Anthony Brown,2016,4.0,0.7,0.0
7769,Brandon Bass,2016,7.2,1.1,0.0
7745,Jerry Reynolds,1992,12.1,3.3,0.0
7743,Greg Kite,1992,3.2,0.6,0.0
7771,Jordan Clarkson,2016,15.5,2.4,0.0
7742,Dennis Scott,1992,19.9,1.9,0.0
7717,Doc Rivers,1994,7.5,5.3,0.0
7718,Eric Anderson,1994,1.9,0.2,0.0
7719,Greg Anthony,1994,7.9,4.6,0.0
7720,Herb Williams,1994,3.3,0.4,0.0
7721,Hubert Davis,1994,11.0,2.9,0.0
7722,John Starks,1994,19.0,5.9,0.0
7724,Rolando Blackman,1994,7.3,1.4,0.0
7725,Anthony Bonner,1995,3.8,1.4,0.0
7726,Anthony Mason,1995,9.9,3.1,0.0
7727,Charles Oakley,1995,10.1,2.5,0.0
7728,Charles Smith,1995,12.7,1.6,0.0
7729,Charlie Ward,1995,1.6,0.4,0.0
7730,Derek Harper,1995,11.5,5.7,0.0
7731,Doug Christie,1995,1.3,0.7,0.0
7732,Greg Anthony,1995,6.1,2.6,0.0
7733,Herb Williams,1995,3.3,0.5,0.0
7734,Hubert Davis,1995,10.0,1.8,0.0
7735,John Starks,1995,15.3,5.1,0.0
7736,Monty Williams,1995,3.3,1.2,0.0
7738,Ron Grandison,1995,1.0,1.0,0.0
7739,Anthony Bowie,1992,14.6,3.1,0.0
7740,Bison Dele,1992,9.1,0.7,0.0
7741,Chris Corchiani,1992,5.0,2.8,0.0
7770,D'Angelo Russell,2016,13.2,3.3,0.0
7772,Julius Randle,2016,11.3,1.8,0.0
7715,Corey Gaines,1994,1.8,1.7,0.0
7799,Ervin Johnson,2005,1.6,0.1,0.0
7801,John Thomas,2005,2.5,0.4,0.0
7803,Latrell Sprewell,2005,12.8,2.2,0.0
7804,Mark Madsen,2005,2.1,0.4,0.0
7805,Michael Olowokandi,2005,5.9,0.5,0.0
7806,Ndudi Ebi,2005,13.5,0.5,0.0
7807,Sam Cassell,2005,13.5,5.1,0.0
7808,Trenton Hassell,2005,6.6,1.6,0.0
7809,Troy Hudson,2005,8.7,3.6,0.0
7810,Wally Szczerbiak,2005,15.5,2.4,0.0
7811,Anthony Carter,2006,3.3,2.2,0.0
7812,Bracey Wright,2006,8.9,0.7,0.0
7813,Eddie Griffin,2006,4.6,0.6,0.0
7814,Justin Reed,2006,4.5,0.6,0.0
7815,Kevin Garnett,2006,21.8,4.1,0.0
7816,Marcus Banks,2006,10.0,3.8,0.0
7817,Mark Blount,2006,11.3,1.2,0.0
7818,Mark Madsen,2006,1.2,0.2,0.0
7819,Marko Jarić,2006,7.8,3.9,0.0
7820,Rashad McCants,2006,7.9,0.8,0.0
7821,Ricky Davis,2006,19.4,5.1,0.0
7822,Ronald Dupree,2006,2.2,0.4,0.0
7823,Trenton Hassell,2006,9.2,2.6,0.0
7824,Troy Hudson,2006,9.5,2.9,0.0
7800,Fred Hoiberg,2005,5.8,1.1,0.0
7798,Eddie Griffin,2005,7.5,0.8,0.0
7773,Kobe Bryant,2016,17.6,2.8,0.0
7797,Anthony Carter,2005,2.7,2.4,0.0
7774,Larry Nance Jr.,2016,5.5,0.7,0.0
7775,Lou Williams,2016,15.3,2.5,0.0
7776,Marcelo Huertas,2016,4.5,3.4,0.0
7777,Metta World Peace,2016,5.0,0.8,0.0
7778,Nick Young,2016,7.3,0.6,0.0
7779,Robert Sacre,2016,3.5,0.6,0.0
7780,Roy Hibbert,2016,5.9,1.2,0.0
7781,Ryan Kelly,2016,4.2,0.6,0.0
7782,Tarik Black,2016,3.4,0.4,0.0
7783,Anthony Carter,2003,4.1,4.1,0.0
7784,Brian Grant,2003,10.3,1.3,0.0
7785,Caron Butler,2003,15.4,2.7,0.0
7786,Eddie House,2003,7.5,1.6,0.0
7787,Eddie Jones,2003,18.5,3.7,0.0
7788,Ken Johnson,2003,2.0,0.0,0.0
7789,LaPhonso Ellis,2003,5.0,0.3,0.0
7790,Malik Allen,2003,9.6,0.7,0.0
7791,Mike James,2003,7.8,3.2,0.0
7792,Rasual Butler,2003,7.5,1.3,0.0
7793,Sean Lampley,2003,4.8,0.9,0.0
7794,Sean Marks,2003,2.3,0.1,0.0
7795,Travis Best,2003,8.4,3.5,0.0
7796,Vladimir Stepania,2003,5.6,0.3,0.0
7716,Derek Harper,1994,9.6,4.1,0.0
7714,Charles Smith,1994,10.4,1.2,0.0
7606,Brad Lohaus,1993,9.1,1.6,0.0
7633,Anthony Avent,2000,1.7,0.2,0.0
7635,Charles Jones,2000,3.4,1.7,0.0
7636,Derek Anderson,2000,16.9,3.4,0.0
7637,Eric Murdock,2000,5.6,2.7,0.0
7638,Eric Piatkowski,2000,8.7,1.1,0.0
7639,Etdrick Bohannon,2000,2.2,0.4,0.0
7640,Jeff McInnis,2000,7.2,3.6,0.0
7641,Keith Closs,2000,4.2,0.4,0.0
7642,Lamar Odom,2000,16.6,4.2,0.0
7643,Mario Bennett,2000,0.0,0.0,0.0
7644,Marty Conlon,2000,0.7,0.0,0.0
7645,Maurice Taylor,2000,17.1,1.6,0.0
7646,Michael Olowokandi,2000,9.8,0.5,0.0
7647,Pete Chilcutt,2000,2.1,0.5,0.0
7648,Troy Hudson,2000,8.8,3.9,0.0
7649,Tyrone Nesby,2000,13.3,1.7,0.0
7650,Anthony Bennett,2016,1.5,0.0,0.0
7651,Bismack Biyombo,2016,5.5,0.4,0.0
7652,Bruno Caboclo,2016,0.5,0.2,0.0
7653,Cory Joseph,2016,8.5,3.1,0.0
7654,DeMar DeRozan,2016,23.5,4.0,0.0
7655,DeMarre Carroll,2016,11.0,1.0,0.0
7656,Delon Wright,2016,3.8,1.1,0.0
7657,James Johnson,2016,5.0,1.2,0.0
7634,Brian Skinner,2000,5.4,0.3,0.0
7632,Rich Manning,1996,3.7,0.2,0.0
7659,Jonas Valančiūnas,2016,12.8,0.7,0.0
7631,Lawrence Moten,1996,6.6,1.1,0.0
7608,Danny Schayes,1993,4.6,1.1,0.0
7609,Derek Strong,1993,6.8,0.6,0.0
7610,Eric Murdock,1993,14.4,7.6,0.0
7611,Frank Brickowski,1993,16.9,3.0,0.0
7612,Fred Roberts,1993,7.6,1.5,0.0
7613,Jon Barry,1993,4.4,1.4,0.0
7614,Lee Mayberry,1993,5.2,3.3,0.0
7615,Moses Malone,1993,4.5,0.6,0.0
7616,Orlando Woolridge,1993,12.0,2.0,0.0
7617,Todd Day,1993,13.8,1.6,0.0
7618,Anthony Avent,1996,5.8,1.0,0.0
7619,Ashraf Amaya,1996,6.3,0.6,0.0
7620,Blue Edwards,1996,12.7,2.6,0.0
7621,Bryant Reeves,1996,13.3,1.4,0.0
7622,Byron Scott,1996,10.2,1.5,0.0
7623,Chris King,1996,7.9,1.3,0.0
7624,Cuonzo Martin,1996,2.3,0.5,0.0
7625,Doug Edwards,1996,3.0,1.3,0.0
7626,Eric Mobley,1996,4.8,0.6,0.0
7627,Eric Murdock,1996,8.9,4.5,0.0
7628,Gerald Wilkins,1996,6.7,2.4,0.0
7629,Greg Anthony,1996,14.0,6.9,0.0
7630,Kenny Gattison,1996,9.2,0.6,0.0
7658,Jason Thompson,2016,3.1,0.6,0.0
7661,Lucas Nogueira,2016,2.2,0.2,0.0
7713,Charles Oakley,1994,11.8,2.7,0.0
7688,Jim Les,1992,3.7,2.3,0.0
7690,Lionel Simmons,1992,17.1,4.3,0.0
7691,Mitch Richmond,1992,22.5,5.1,0.0
7692,Pete Chilcutt,1992,3.6,0.6,0.0
7693,Randy Brown,1992,3.4,1.1,0.0
7694,Spud Webb,1992,16.0,7.1,0.0
7695,Stephen Thompson,1992,1.6,0.4,0.0
7696,Wayman Tisdale,1992,16.6,1.5,0.0
7697,Anthony Bonner,1993,8.6,1.4,0.0
7698,Duane Causwell,1993,8.2,0.6,0.0
7699,Jim Les,1993,4.5,2.3,0.0
7700,Kurt Rambis,1993,2.5,0.7,0.0
7701,Lionel Simmons,1993,17.9,4.5,0.0
7702,Marty Conlon,1993,4.8,0.8,0.0
7703,Mitch Richmond,1993,21.9,4.9,0.0
7704,Pete Chilcutt,1993,6.1,1.1,0.0
7705,Randy Brown,1993,7.6,2.6,0.0
7706,Rod Higgins,1993,8.3,1.7,0.0
7707,Spud Webb,1993,14.5,7.0,0.0
7708,Stan Kimbrough,1993,1.7,0.3,0.0
7709,Walt Williams,1993,17.0,3.0,0.0
7710,Wayman Tisdale,1993,16.6,1.4,0.0
7711,Anthony Bonner,1994,5.1,1.2,0.0
7712,Anthony Mason,1994,7.2,2.1,0.0
7689,Les Jepsen,1992,0.8,0.0,0.0
7687,Dwayne Schintzius,1992,3.3,0.6,0.0
7662,Luis Scola,2016,8.7,0.9,0.0
7686,Duane Causwell,1992,8.0,0.7,0.0
7663,Norman Powell,2016,5.6,1.0,0.0
7664,Patrick Patterson,2016,6.9,1.2,0.0
7665,Terrence Ross,2016,9.9,0.8,0.0
7666,Anthony Bonner,1991,7.4,1.4,0.0
7667,Anthony Frederick,1991,5.1,1.3,0.0
7668,Antoine Carr,1991,20.1,2.5,0.0
7669,Bill Wennington,1991,5.7,0.9,0.0
7670,Bob Hansen,1991,6.4,2.5,0.0
7671,Duane Causwell,1991,6.9,0.9,0.0
7672,Jim Les,1991,7.2,5.4,0.0
7673,Leon Wood,1991,6.8,4.1,0.0
7674,Lionel Simmons,1991,18.0,4.0,0.0
7675,Mike Higgins,1991,2.3,0.3,0.0
7676,Ralph Sampson,1991,3.0,0.7,0.0
7677,Rick Calloway,1991,3.2,1.0,0.0
7678,Rory Sparrow,1991,10.4,4.5,0.0
7679,Steve Colter,1991,3.1,1.9,0.0
7680,Tony Dawson,1991,2.3,0.0,0.0
7681,Travis Mays,1991,14.3,4.0,0.0
7682,Wayman Tisdale,1991,20.0,2.0,0.0
7683,Anthony Bonner,1992,9.4,1.6,0.0
7684,Carl Thomas,1992,12.0,1.0,0.0
7685,Dennis Hopson,1992,10.5,1.4,0.0
7825,Anthony Carter,2009,5.3,4.7,0.0
7826,Carmelo Anthony,2009,22.8,3.4,0.0
7828,Chris Andersen,2009,6.4,0.4,0.0
7965,Brooks Thompson,1997,6.6,2.7,0.0
7967,Dale Ellis,1997,16.6,2.0,0.0
7968,Elmer Bennett,1997,2.4,1.2,0.0
7969,Eric Murdock,1997,3.8,2.0,0.0
7970,Ervin Johnson,1997,7.1,0.9,0.0
7971,George Zídek,1997,2.8,0.3,0.0
7972,Jeff McInnis,1997,5.0,1.4,0.0
7973,Jerome Allen,1997,3.0,2.0,0.0
7974,Jimmy King,1997,3.0,1.0,0.0
7975,Kenny Smith,1997,6.3,2.4,0.0
7976,LaPhonso Ellis,1997,21.9,2.4,0.0
7977,Tom Hammonds,1997,6.2,0.8,0.0
7978,Vincent Askew,1997,5.6,2.1,0.0
7979,Šarūnas Marčiulionis,1997,6.8,1.5,0.0
7980,Anthony Goldwire,1998,9.2,3.4,0.0
7981,Bobby Jackson,1998,11.6,4.7,0.0
7982,Bryant Stith,1998,7.6,1.6,0.0
7983,Cory Alexander,1998,8.1,3.5,0.0
7984,Danny Fortson,1998,10.2,1.0,0.0
7985,Dean Garrett,1998,7.3,1.1,0.0
7986,Eric Washington,1998,7.7,1.2,0.0
7987,Eric Williams,1998,19.8,3.0,0.0
7988,Harold Ellis,1998,6.1,0.7,0.0
7989,Joe Wolf,1998,1.5,0.5,0.0
7966,Bryant Stith,1997,14.9,2.6,0.0
7964,Antonio McDyess,1997,18.3,1.4,0.0
7991,Kiwane Lemorris Garris,1998,2.4,1.0,0.0
7963,Anthony Goldwire,1997,6.5,3.7,0.0
7940,Kevin Lynch,1992,4.1,1.5,0.0
7941,Larry Johnson,1992,19.2,3.6,0.0
7942,Michael Ansley,1992,2.1,0.2,0.0
7943,Mike Gminski,1992,5.8,0.9,0.0
7944,Muggsy Bogues,1992,8.9,9.1,0.0
7945,Ron Grandison,1992,3.3,0.3,0.0
7946,Anthony Goldwire,1996,5.5,2.7,0.0
7947,Corey Beck,1996,1.0,1.0,0.0
7948,Darrin Hancock,1996,4.3,0.7,0.0
7949,Dell Curry,1996,14.5,2.1,0.0
7950,Donald Hodge,1996,1.2,0.3,0.0
7951,George Zídek,1996,4.0,0.2,0.0
7952,Gerald Glass,1996,1.7,0.3,0.0
7953,Glen Rice,1996,21.6,2.9,0.0
7954,Kenny Anderson,1996,15.2,8.3,0.0
7955,Larry Johnson,1996,20.5,4.4,0.0
7956,Matt Geiger,1996,11.2,0.8,0.0
7957,Michael Adams,1996,5.4,3.2,0.0
7958,Muggsy Bogues,1996,2.3,3.2,0.0
7959,Pete Myers,1996,3.9,2.0,0.0
7960,Rafael Addison,1996,3.2,0.6,0.0
7961,Robert Parish,1996,3.9,0.4,0.0
7962,Scott Burrell,1996,13.2,2.4,0.0
7990,Johnny Newman,1998,14.7,1.9,0.0
7992,LaPhonso Ellis,1998,14.3,2.8,0.0
7829,Dahntay Jones,2009,5.4,1.0,0.0
8019,Jared Jeffries,2003,4.0,0.8,0.0
8021,Juan Dixon,2003,6.4,1.0,0.0
8022,Kwame Brown,2003,7.4,0.7,0.0
8023,Larry Hughes,2003,12.8,3.1,0.0
8024,Michael Jordan,2003,20.0,3.8,0.0
8025,Tyronn Lue,2003,8.6,3.5,0.0
8026,Anthony Goldwire,2005,5.2,2.4,0.0
8027,Calvin Booth,2005,2.4,0.2,0.0
8028,Dan Gadzuric,2005,7.3,0.4,0.0
8029,Daniel Santiago,2005,2.0,0.1,0.0
8030,Desmond Mason,2005,17.2,2.7,0.0
8031,Erick Strickland,2005,4.9,1.9,0.0
8032,Joe Smith,2005,11.0,0.9,0.0
8033,Kendall Gill,2005,6.1,1.9,0.0
8034,Marcus Fizer,2005,6.2,1.2,0.0
8035,Michael Redd,2005,23.0,2.3,0.0
8036,Mo Williams,2005,10.2,6.1,0.0
8037,Reece Gaines,2005,2.0,0.3,0.0
8038,Toni Kukoč,2005,5.6,3.0,0.0
