,tmax,tmin,rain,tmax_tomorrow,tmax_3,tmax_5,tmax_7,tmax_14,tmax_30,tmax_60,tmax_90
1970-03-31,71.0,51.0,0.0,67.0,69.33333333333333,69.8,70.85714285714286,68.21428571428571,63.96666666666667,62.78333333333333,60.91111111111111
1970-04-01,67.0,50.0,0.0,67.0,68.66666666666667,68.2,70.0,68.35714285714286,64.33333333333333,62.983333333333334,60.98888888888889
1970-04-02,67.0,47.0,0.0,74.0,68.33333333333333,68.4,69.0,68.28571428571429,64.66666666666667,63.11666666666667,61.15555555555556
1970-04-03,74.0,49.0,0.0,72.0,69.33333333333333,69.4,68.85714285714286,69.14285714285714,65.4,63.28333333333333,61.4
1970-04-04,72.0,46.0,0.0,64.0,71.0,70.2,69.71428571428571,69.85714285714286,65.9,63.53333333333333,61.611111111111114
1970-04-05,64.0,49.0,0.0,62.0,70.0,68.8,69.0,69.85714285714286,66.03333333333333,63.6,61.74444444444445
1970-04-06,62.0,49.0,0.0,59.0,66.0,67.8,68.14285714285714,69.5,66.1,63.68333333333333,61.87777777777778
1970-04-07,59.0,45.0,0.0,62.0,61.666666666666664,66.2,66.42857142857143,68.64285714285714,66.1,63.666666666666664,61.955555555555556
1970-04-08,62.0,49.0,0.0,60.0,61.0,63.8,65.71428571428571,67.85714285714286,66.26666666666667,63.6,62.022222222222226
1970-04-09,60.0,50.0,0.0,62.0,60.333333333333336,61.4,64.71428571428571,66.85714285714286,66.36666666666666,63.43333333333333,62.08888888888889
1970-04-10,62.0,52.0,0.0,64.0,61.333333333333336,61.0,63.0,65.92857142857143,66.46666666666667,63.416666666666664,62.144444444444446
1970-04-11,64.0,43.0,0.0,64.0,62.0,61.4,61.857142857142854,65.78571428571429,66.53333333333333,63.4,62.22222222222222
1970-04-12,64.0,43.0,0.0,54.0,63.333333333333336,62.4,61.857142857142854,65.42857142857143,66.5,63.416666666666664,62.28888888888889
1970-04-13,54.0,48.0,0.0,58.0,60.666666666666664,60.8,60.714285714285715,64.42857142857143,66.16666666666667,63.333333333333336,62.233333333333334
1970-04-14,58.0,49.0,0.0,56.0,58.666666666666664,60.4,60.57142857142857,63.5,65.93333333333334,63.333333333333336,62.233333333333334
1970-04-15,56.0,44.0,0.0,60.0,56.0,59.2,59.714285714285715,62.714285714285715,65.63333333333334,63.3,62.233333333333334
1970-04-16,60.0,48.0,0.0,61.0,58.0,58.4,59.714285714285715,62.214285714285715,65.33333333333333,63.31666666666667,62.22222222222222
1970-04-17,61.0,47.0,0.0,59.0,59.0,57.8,59.57142857142857,61.285714285714285,65.2,63.31666666666667,62.24444444444445
