,user_id,book_id,rating,title
106,-1,1635,4,Getting the Right Things Done: A Leader's Guide to Planning and Execution
107,-1,25320,4,"March to the Sea  (Empire of Man, #2)"
108,-1,45245,4,"The Reality Dysfunction  (Night's Dawn, #1)"
109,-1,7996,4,"Lord Brocktree  (Redwall, #13)"
110,-1,857043,4,Catch-22
111,-1,866136,4,The Dreaming Void
112,-1,285451,4,Liar's Poker
113,-1,11472,4,We Wish to Inform You That Tomorrow We Will Be Killed With Our Families
114,-1,350,4,Stranger in a Strange Land
115,-1,8302746,4,"Last Argument of Kings  (The First Law, #3)"
116,-1,419083,4,Killing Pablo: The Hunt for the World's Greatest Outlaw
117,-1,1001524,4,"Pandora's Star  (Commonwealth Saga, #1)"
118,-1,569978,4,Anansi Boys
119,-1,781182,4,Barbarians at the Gate: The Fall of RJR Nabisco
120,-1,2372,4,The Path Between the Seas: The Creation of the Panama Canal 1870-1914
121,-1,475,4,Collapse: How Societies Choose to Fail or Succeed
122,-1,16690,4,The Moon Is a Harsh Mistress
123,-1,139373,4,Blood River: The Terrifying Journey Through The World's Most Dangerous Country
124,-1,1107296,4,"Mutineers' Moon  (Dahak, #1)"
125,-1,47109,4,"The Handmaid's Tale  (The Handmaid's Tale, #1)"
126,-1,233679,4,"Guards! Guards!  (Discworld, #8; City Watch #1)"
127,-1,19785919,4,Cryptonomicon
128,-1,79909,4,In Patagonia
129,-1,8837,4,"Wind, Sand and Stars"
130,-1,12661,4,Chesapeake
131,-1,29125925,4,The Adventures of Sherlock Holmes
132,-1,618221,4,"Moving Pictures  (Discworld, #10)"
133,-1,12856474,4,"In the Hands of the Great Spirit: The 20,000-Year History of American Indians"
134,-1,76740,4,The Demolished Man
135,-1,77711,4,"A Fire Upon the Deep  (Zones of Thought, #1)"
136,-1,11354791,4,The Gods Themselves
137,-1,873486,4,The Peace War
138,-1,226004,4,"A Deepness in the Sky  (Zones of Thought, #2)"
139,-1,3760025,4,Fahrenheit 451
140,-1,239796,4,Coming of Age in the Milky Way
141,-1,10240738,4,"Hyperion  (Hyperion Cantos, #1)"
